Mã,Năm,current_ratio,cash_ratio,nwc_to_ta,debt_to_ta,debt_to_equity,short_term_debt_share,asset_turnover,receivables_to_revenue,inventory_to_revenue,cluster,cluster_agg,npm,risk_level,risk_prev,npm_prev,alert_level,delta_npm
AGM,2023,-0.4573315159888528,-0.5105668785833674,-3.8964334422774223,2.4188458926499066,16.997646973185688,0.7626856291444558,-0.21759082467169136,-0.08702990105141797,-0.10534489687592101,4,5,-0.28029911007931857,Critical,Medium,-0.06792799016280927,Critical,-0.2123711199165093
AGM,2024,-0.4538236354631102,-0.42075846799359096,-5.1776849774589,3.447750382745124,-4.312360550548762,0.8225401677482046,-0.6433526629949317,-0.06857746183236327,-0.08509526643272511,6,1,-1.0435063741132249,Medium,Critical,-0.28029911007931857,Red,-0.7632072640339063
ANV,2020,-0.38546479358965,-0.4678038944200171,-0.5788155299015207,0.1992195670877875,-0.15676470880273782,0.657398828381216,-0.21413437961576282,-0.022998972937651126,-0.04622165719632196,6,1,0.0587932609240114,Medium,,,Green,
ANV,2021,-0.31376633608793186,-0.4312171163049546,-0.5583547561716024,0.2683431872457795,-0.07911357278725133,0.5642992779770871,-0.18580886382459863,-0.06857746183236327,-0.08538748898268758,6,1,0.036846569130014585,Medium,Medium,0.0587932609240114,Yellow,-0.021946691793996817
ANV,2022,-0.34054075398013506,-0.476766697825133,-0.4505196544994507,0.09941034761358597,-0.2358394993311131,0.6227089238461799,-0.06889702299223396,-0.10526367088410818,-0.0582281059176549,6,1,0.13759317932924447,Medium,Medium,0.036846569130014585,Green,0.1007466101992299
ANV,2023,-0.28597852416790875,-0.4938357939406326,-0.37299170902624645,-0.028811001415041892,-0.17761987049042405,0.5850613036769218,0.018687973153848035,-0.10057535671651076,-0.0772579997931676,6,1,0.008828691692298073,Medium,Medium,0.13759317932924447,Red,-0.1287644876369464
ANV,2024,-0.28819970642779186,-0.32250005584622,-0.5099413962846461,-0.10778773180500732,-0.3079543929313071,0.6461672134475578,0.13570977742342846,-0.06857746183236327,-0.07472722288097451,6,1,0.009856161925046182,Medium,Medium,0.008828691692298073,Green,0.0010274702327481098
APC,2020,1.0901075599050987,2.377360037134984,-0.23576912429700975,-0.5096257371455912,-0.39386663707440384,-2.708112486490054,-0.8297559260491428,-0.002999317278360894,-0.1294658051482949,1,4,0.32100145251068296,Low,,,Green,
APC,2021,0.46218352943018104,0.04229876153511368,-0.2986447222398963,-0.4989886815308335,-0.16061130234141976,-2.539513269293043,-0.8366096236651653,-0.06857746183236327,-0.08538748898268758,1,4,-0.012410286640947196,Low,Low,0.32100145251068296,Red,-0.33341173915163014
APC,2022,-0.0391169404390907,-0.42332038341985256,-0.42373537511482295,-0.43134488406514365,-0.4832362920470219,-2.1914444360804928,-0.7546276342220478,-0.041637909759992944,-0.08886598846766394,1,4,-0.06635557760320114,Low,Low,-0.012410286640947196,Red,-0.05394529096225394
APH,2020,-0.3937320147083681,-0.156659137671556,-0.6837905555594459,0.49215524502267993,-0.009581816758662534,-0.17536989108538648,-0.10428757612207655,-0.01163450833699007,-0.10896214110919132,6,1,0.028540684689362848,Medium,,,Green,
APH,2021,-0.24331374381268517,0.13656536507626757,-0.18659284951514438,0.24804489259314497,-0.08195495975962501,-0.4610937416898027,0.35260828606678124,-0.06857746183236327,-0.08538748898268758,6,1,0.016118109197091283,Medium,Medium,0.028540684689362848,Green,-0.012422575492271565
APH,2022,-0.26905479213394257,0.1554951055109124,-0.11640064052141742,0.23128849645781674,-0.15652196794160278,-0.4585362652734367,0.3705328730660606,-0.10373455602734125,-0.08106781506926,6,1,0.0033134066518515294,Medium,Medium,0.016118109197091283,Green,-0.012804702545239754
APH,2023,-0.2885923772433449,0.19258924853496615,-0.4579548953134848,0.398228561037022,-0.06340937119584444,-0.3253897843202413,0.33072756050174096,-0.0997765932599995,-0.10320204711397164,6,1,0.015100113171009883,Medium,Medium,0.0033134066518515294,Green,0.011786706519158354
APH,2024,-0.24905921821786584,0.12312462772042297,-0.3093141201358495,0.48918263667999945,0.03580202100699979,-0.9788662827779151,0.18285843155720924,-0.06857746183236327,-0.08430154703572931,1,1,0.021736501661120414,Low,Medium,0.015100113171009883,Green,0.00663638849011053
ASG,2020,0.2675124672230968,0.922861985126949,0.7237164335743204,-0.6511524544162,-0.42837925279168426,-1.0817799786526618,-0.609425595510132,0.008893694280535153,-0.12753714316527312,1,4,0.0847090731190205,Low,,,Green,
ASG,2021,-0.260604382249076,-0.07923897566057352,-0.6457985773778908,-0.546072000655149,-0.16431638526517292,-0.8731479716242692,-0.6044955449499408,-0.06857746183236327,-0.08538748898268758,1,4,0.048247872364572474,Low,Low,0.0847090731190205,Yellow,-0.036461200754448024
